LEPOP,480424.00N,0684142.00W
LEPOR,491312.52N,0723731.89W
LERAK,440315.57N,0783100.96W
LEROS,450128.80N,0632210.80W
LERUP,535735.61N,1134056.61W
LESUB,430100.00N,0803259.00W
LESUG,485109.04N,0893242.89W
LETOG,501500.00N,1283818.00W
LETOV,610100.47N,1300000.00W
LETRM,555346.00N,1114549.00W
LEVAD,485321.00N,0541712.00W
LEVIS,464726.37N,0710927.55W
LEXAK,472400.00N,0532442.00W
LEXOD,483100.00N,0662000.00W
LEXON,550756.00N,1120906.00W
LIAND,450404.00N,0715527.00W
LIANO,485326.50N,1231945.56W
LIBEN,594810.20N,0772421.00W
LIBOG,492748.00N,1235900.00W
LIBUG,593000.00N,1134612.82W
LIDEB,681500.00N,1100000.00W
LIDEX,520809.60N,1064025.80W
LIDIT,634600.00N,0740000.00W
LIDON,562034.74N,1053438.96W
LIDUL,530319.00N,1221829.00W
LIEKY,524513.00N,1213916.00W
LINNG,431810.00N,0792117.00W
LINSY,442246.00N,0784501.00W
LIRLI,501400.00N,1051700.00W
LITGO,560818.63N,1025648.71W
LITRO,532148.00N,0900000.00W
LLEEO,415032.70N,0823723.01W
LOACH,553100.00N,0570100.00W
LOBTO,502000.00N,1055300.00W
LOCAN,493042.00N,1173306.00W
LODMI,600000.00N,0884500.00W
LOGLI,450424.00N,0742854.00W
LOGSU,484633.00N,0510000.00W
LOHIL,545024.00N,0690000.00W
LOKBU,460611.93N,0731441.58W
LOKTI,430401.80N,0811123.40W
LOLVI,453222.32N,0741242.75W
LOMPI,440000.00N,0570000.00W
LOMTA,571212.00N,0623712.00W
LONGU,592313.40N,1000000.00W
LONRO,523724.00N,1180930.00W
LOONY,503007.00N,1141722.00W
LOPGO,503300.00N,0965000.00W
LOPRO,484321.00N,0574213.00W
LOPVI,591600.00N,0641500.00W
LORKA,453938.00N,0760409.00W
LORMO,584648.00N,0900000.00W
LORNA,513924.00N,1100000.00W
LORNE,484024.00N,0812418.00W
LORVO,512924.00N,1214456.00W
LOYED,450449.00N,0794142.00W
LUBIC,562254.00N,1153012.00W
LUMBY,502130.00N,1153742.00W
LUNGE,473319.14N,0802722.21W
LYTON,501458.98N,1215042.61W
MAARS,420518.00N,0822910.46W
MACAR,492833.00N,1241043.00W
MADYN,512942.00N,1141558.00W
MAIPL,491436.00N,1223212.00W
MAIRE,454230.00N,0730725.00W
MALPE,464320.00N,0632415.00W
MALPY,511318.00N,1185706.00W
MALTN,434306.00N,0794024.00W
MANUP,520242.00N,0900000.00W
MAVOD,450400.00N,0765224.00W
MAZNA,445715.00N,0770925.00W
MCKEE,564018.48N,0665957.22W
MEDPA,723940.00N,0674248.00W
MEETO,533536.00N,1072124.00W
